name,url,members,posts_a_month,found_in,found_by,tags,sources
Bloxwich Chit Chat,https://www.facebook.com/groups/2369573043212672/,39000,600.0,"Bloxwich East & Blakenall Heath (ward); Harden, Goscote & Ryecroft (ward); Walsall and Bloxwich (constituency)","Bloxwich; Bloxwich High Street; Bloxwich Park and Promenade Gardens; Bloxwich Road; Chapel Of Rest; Christ Church, Blakenall Heath; Dudley Fields Bloxwich; High Street; Little Bloxwich; Lower Farm Bloxwich; Mackay Road; Stan Ball Centre; The Clock Gardens; Turnberry Estate Bloxwich; Walsall Academy",community_centre; highstreet; locality; park; place_of_worship; residential_road; school; town,llm; overpass
í µí·ªí µí·²í µí¸í µí¸ í µí· í µí·¶í µí·±í µí·¹í µí·®í µí·»í µí·±í µí¸ í µí· í µí¸í µí¸í µí·¹í µí·¶í µí·º í µí·í µí·¼í µí·ºí µí·ºí µí¸í µí·»í µí·¶í µí¸í µí¸ âªï¸,https://www.facebook.com/groups/1715826728751175/,32000,600.0,Walsall and Bloxwich (constituency),Blakenall Heath; Walsall Arboretum,locality; park,llm
Used items Walsall,https://www.facebook.com/groups/used.items.walsall/,15000,60.0,Bloxwich East & Blakenall Heath (ward); Walsall and Bloxwich (constituency),Walsall Academy; Walsall town centre,locality; school,llm
Visit Walsall,https://www.facebook.com/groups/walsallevents/,9100,120.0,Bloxwich East & Blakenall Heath (ward); Walsall and Bloxwich (constituency),"Blakenall Village Centre (Love Blakenall Community Hub); Caldmore Walsall; Chapel Of Rest; Coalpool Walsall; Fishley Lane; High Street; Mallory Crescent; Palace Play, Shop, Eat (Blakenall Centre); Palfrey Walsall; Park Street Walsall; Stan Ball Centre; Walsall town centre",community_centre; highstreet; locality; place_of_worship; residential_road,llm; overpass
Walsall Asian Community News & Views,https://www.facebook.com/groups/1149747311896059/,7000,2400.0,Bloxwich East & Blakenall Heath (ward); Walsall and Bloxwich (constituency),"Chapel Of Rest; Palace Play, Shop, Eat (Blakenall Centre); Palfrey Walsall; Walsall Academy; Walsall town centre",community_centre; locality; place_of_worship; school,llm; overpass
Bloxwich Community Group,https://www.facebook.com/groups/846204072588201/,5100,900.0,"Bloxwich East & Blakenall Heath (ward); Harden, Goscote & Ryecroft (ward); Walsall and Bloxwich (constituency)","Blakenall Village Centre (Love Blakenall Community Hub); Bloxwich; Bloxwich High Street; Bloxwich Park and Promenade Gardens; Bloxwich Road; Chapel Of Rest; Christ Church, Blakenall Heath; Dudley Fields Bloxwich; Fishley Lane; High Street; Little Bloxwich; Lower Farm Bloxwich; Mackay Road; Mallory Crescent; Palace Play, Shop, Eat (Blakenall Centre); Stan Ball Centre; The Clock Gardens; Walsall Academy",community_centre; highstreet; locality; park; place_of_worship; residential_road; school; town,llm; overpass
Mossley Matters - The Local Hub,https://www.facebook.com/groups/376524232718858/,5100,90.0,Walsall and Bloxwich (constituency),Mossley Walsall,locality,llm
Walsall Public Group,https://www.facebook.com/groups/1619774512107836/,4200,2700.0,Bloxwich East & Blakenall Heath (ward); Walsall and Bloxwich (constituency),"Blakenall Village Centre (Love Blakenall Community Hub); Caldmore Walsall; Coalpool Walsall; High Street; Mallory Crescent; Palace Play, Shop, Eat (Blakenall Centre); Palfrey Walsall; Stan Ball Centre; Walsall Academy; Walsall town centre",community_centre; highstreet; locality; residential_road; school,llm; overpass
Events in Walsall,https://www.facebook.com/groups/129738519274885/,3700,300.0,"Bloxwich East & Blakenall Heath (ward); Harden, Goscote & Ryecroft (ward); Walsall and Bloxwich (constituency)","Mallory Crescent; Palace Play, Shop, Eat (Blakenall Centre); Palfrey Walsall; Park Street Walsall; Stan Ball Centre; Walsall Arena & Arts Centre (Forest Arts Centre); Walsall town centre",community_centre; highstreet; locality; residential_road,llm; overpass
"Beechdale, Birchills, Leamore and Reedswood.",https://www.facebook.com/groups/654222854724242/,3000,240.0,Walsall and Bloxwich (constituency),Birchills Walsall; Leamore Walsall,locality,llm
