comment_id,post_id,timestamp,date,category,issue,opinion,group,num_reactions,reactions_like,reactions_love,reactions_haha,reactions_wow,reactions_sad,reactions_angry,link,text,comment_summary,post_text,post_summary
3385263601677741,3385239988346769,2026-08-03T15:34:56+00:00,2026-08-03,Housing,Rental Discrimination,Questioning advertiser legitimacy and anonymity,Walsall Asian Community News & Views,0,0,0,0,0,0,0,https://www.facebook.com/groups/1149747311896059/posts/3385239988346769?comment_id=3385263601677741,Why are you posting anonymously? If you’re a legit landlord or estate agent you would reveal your identity on here when posting.,"Questions the legitimacy of the rental advertisement by challenging why the poster remains anonymous, implying that a genuine landlord or estate agent would publicly identify themselves. Suggests anonymity is indicative of potentially fraudulent or illegitimate activity.",3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message 3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message,"The advertisement for a local rental property has prompted criticism regarding the legality of its ""no Universal Credit"" policy and the anonymity of the landlord."
3385306565006778,3385239988346769,2026-08-03T16:21:37+00:00,2026-08-03,Housing,Rental Discrimination,Expressing interest in rental property,Walsall Asian Community News & Views,0,0,0,0,0,0,0,https://www.facebook.com/groups/1149747311896059/posts/3385239988346769?comment_id=3385306565006778,Any contact nmb??,Asks for contact information or a phone number from the landlord advertising the rental property. The commenter is likely interested in the property and seeking a way to get in touch.,3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message 3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message,"The advertisement for a local rental property has prompted criticism regarding the legality of its ""no Universal Credit"" policy and the anonymity of the landlord."
3385326715004763,3385239988346769,2026-08-03T16:45:46+00:00,2026-08-03,Housing,Rental Discrimination,Asserting UC exclusion violates discrimination law,Walsall Asian Community News & Views,1,1,0,0,0,0,0,https://www.facebook.com/groups/1149747311896059/posts/3385239988346769?comment_id=3385326715004763,It's illegal to state no UC.,Asserts that the rental property advertisement's exclusion of Universal Credit recipients violates housing discrimination law. Implies the landlord's stated policy is legally prohibited.,3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message 3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message,"The advertisement for a local rental property has prompted criticism regarding the legality of its ""no Universal Credit"" policy and the anonymity of the landlord."
3385338328336935,3385239988346769,2026-08-03T17:00:01+00:00,2026-08-03,Housing,Rental Discrimination,Expressing interest in rental property,Walsall Asian Community News & Views,0,0,0,0,0,0,0,https://www.facebook.com/groups/1149747311896059/posts/3385239988346769?comment_id=3385338328336935,Kerry Parsons,"The comment consists only of a name 'Kerry Parsons' with no additional text or context provided. It is unclear whether this represents interest in the rental property, a question, criticism, or some other form of engagement with the post.",3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message 3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message,"The advertisement for a local rental property has prompted criticism regarding the legality of its ""no Universal Credit"" policy and the anonymity of the landlord."
3386052338265534,3385239988346769,2026-08-04T09:36:02+00:00,2026-08-04,Housing,Rental Discrimination,Expressing interest in rental property,Walsall Asian Community News & Views,0,0,0,0,0,0,0,https://www.facebook.com/groups/1149747311896059/posts/3385239988346769?comment_id=3386052338265534,Message me,Requests direct private communication with the property advertiser. Likely indicates interest in the rental property and preference for messaging rather than public comment engagement.,3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message 3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message,"The advertisement for a local rental property has prompted criticism regarding the legality of its ""no Universal Credit"" policy and the anonymity of the landlord."
3388417771362324,3385239988346769,2026-08-06T13:19:59+00:00,2026-08-06,Housing,Rental Discrimination,Expressing interest in rental property,Walsall Asian Community News & Views,0,0,0,0,0,0,0,https://www.facebook.com/groups/1149747311896059/posts/3385239988346769?comment_id=3388417771362324,Message me,Requests direct private communication with the property advertiser. Likely indicates interest in the rental property and preference for messaging rather than public comment engagement.,3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message 3 bedroom house for rent £950 a month Wednesbury/Darlaston area Available start of next month Pictures of property available No UC Comment you are interested and we will message,"The advertisement for a local rental property has prompted criticism regarding the legality of its ""no Universal Credit"" policy and the anonymity of the landlord."
3438843099618989,3438779372958695,2026-08-08T13:28:47+00:00,2026-08-08,Housing,Pub Conversions,Factual reporting of conversion plans,Bloxwich Chit Chat,2,2,0,0,0,0,0,https://www.facebook.com/groups/2369573043212672/posts/3438779372958695?comment_id=3438843099618989,Turning it into flats,States that The Crown Inn on Leamore Lane is being converted into residential flats. This appears to be a factual response to the original post's question about what is happening to the building.,What they doing with the crown in leamore lane What they doing with the crown in leamore lane,"Local residents are discussing the redevelopment of The Crown Inn on Leamore Lane, which is being converted from a closed public house into residential flats."
3438849196285046,3438779372958695,2026-08-08T13:35:10+00:00,2026-08-08,Housing,Pub Conversions,Conflicting information about conversion type,Bloxwich Chit Chat,1,0,1,0,0,0,0,https://www.facebook.com/groups/2369573043212672/posts/3438779372958695?comment_id=3438849196285046,It's turning it to a restaurant I asked workers yesterday,"Corrects the post's premise by stating that The Crown is being converted into a restaurant, not residential flats as previously discussed. Bases this claim on information obtained directly from workers at the site.",What they doing with the crown in leamore lane What they doing with the crown in leamore lane,"Local residents are discussing the redevelopment of The Crown Inn on Leamore Lane, which is being converted from a closed public house into residential flats."
3438851982951434,3438779372958695,2026-08-08T13:38:33+00:00,2026-08-08,Housing,Pub Conversions,Criticism of pub abandonment patterns,Bloxwich Chit Chat,1,1,0,0,0,0,0,https://www.facebook.com/groups/2369573043212672/posts/3438779372958695?comment_id=3438851982951434,"Like every other pub around leamore, letting it rot.",Criticizes the pattern of pubs in the Leamore area being abandoned and allowed to deteriorate rather than being maintained or repurposed. Implies frustration that The Crown Inn is following the same trajectory as other local pubs in the area.,What they doing with the crown in leamore lane What they doing with the crown in leamore lane,"Local residents are discussing the redevelopment of The Crown Inn on Leamore Lane, which is being converted from a closed public house into residential flats."
3438853289617970,3438779372958695,2026-08-08T13:40:08+00:00,2026-08-08,Housing,Pub Conversions,Factual reporting of conversion plans,Bloxwich Chit Chat,1,0,0,0,0,0,0,https://www.facebook.com/groups/2369573043212672/posts/3438779372958695?comment_id=3438853289617970,It was a restaurant for a few months before Thought it was going to be apartments,"Notes that The Crown building was briefly used as a restaurant before being converted to apartments. Suggests disappointment or surprise that the restaurant use was short-lived, implying the commenter may have expected or preferred the residential conversion to happen differently or that the restaurant venture failed quickly.",What they doing with the crown in leamore lane What they doing with the crown in leamore lane,"Local residents are discussing the redevelopment of The Crown Inn on Leamore Lane, which is being converted from a closed public house into residential flats."
