area,status,note,john_raw,john_filtered,charlotte_intermediate,charlotte_staged,charlotte_promoted,overlap_filtered_vs_intermediate,overlap_filtered_vs_staged,overlap_filtered_vs_promoted,john_filtered_new_vs_promoted,charlotte_only_not_in_john
Blakenall,unavailable,"ward, not a constituency — no equivalent in John's constituency-level data",,,,,,,,,,
Bolsover,ok,,678,154,,26,31,,10,12,142,16
Cardiff North,ok,,282,124,,15,22,,6,7,117,14
Chipping Barnet,ok,,261,55,,13,20,,5,5,50,10
Clacton,ok,,445,85,496,67,20,30,15,6,79,9
Earley and Woodley,unavailable,"new 2024 constituency, no 2021-boundary equivalent in John's data",,,,,,,,,,
Holborn and St Pancras,ok,,321,66,108,9,8,6,5,5,61,2
Knowsley,ok,,407,73,,24,25,,7,8,65,12
Lincoln,ok,,279,45,,26,33,,6,6,39,22
Livingston,ok,,168,48,,15,16,,4,4,44,12
Makerfield,ok,,183,43,,11,16,,2,2,41,11
Manchester Central,ok,,233,56,,5,20,,1,3,53,16
Mansfield,ok,,425,117,,35,43,,6,7,110,33
Midlothian,ok,,408,42,,25,30,,6,5,37,25
Norwich North,ok,,279,67,,19,30,,8,9,58,19
Sittingbourne and Sheppey,ok,,710,139,,59,59,,15,15,124,39
South Derbyshire,ok,,646,131,,27,34,,7,9,122,21
West Bromwich,approximate (boundary changed),,381,59,,133,17,,13,5,54,12
