area,name,url,members,posts_a_month,locality_name
Bolsover,"Jobs in Bolsover, chesterfield and surrounding areas.",https://www.facebook.com/groups/955091945894309/,5000,180.0,
Bolsover,"Food, drink and things to do in Derbyshire í ¼í¾¸í ¼í¾­",https://www.facebook.com/groups/190502785084919/,4200,600.0,
Bolsover,Bolsover Gossip,https://www.facebook.com/groups/716934250598677/,3900,600.0,
Bolsover,Everything Bolsover,https://www.facebook.com/groups/627616735965862/,3200,900.0,
Bolsover,"Warsop, Shirebrook, Cuckney & Surrounding Areas Page",https://www.facebook.com/groups/1400075533614642/,2900,1200.0,
Bolsover,Creswell Business's Page,https://www.facebook.com/groups/607034806828462/,2900,1200.0,
Bolsover,Crags Radio CommUNITY Group,https://www.facebook.com/groups/cragsradiocommunity/,1700,210.0,
Bolsover,Whitwell is Talking (The Truth),https://www.facebook.com/groups/542069537078693/,1300,150.0,
Bolsover,Whitwell Colliery,https://www.facebook.com/groups/230648560360907/,1000,150.0,
Bolsover,"Jobs in Chesterfield, Derbyshire",https://www.facebook.com/groups/jobmoveinchesterfield/,941,90.0,
Bolsover,Clowne and District Motor Club,https://www.facebook.com/groups/clownemotorclub/,802,60.0,
Bolsover,Creswell and surrounding,https://www.facebook.com/groups/729343043787218/,756,210.0,
Bolsover,Bolsover District Chatterbox,https://www.facebook.com/groups/384157988054167/,737,90.0,
Bolsover,Whitwell Village Communications,https://www.facebook.com/groups/693905622676790/,385,60.0,
Bolsover,Palterton Traffic Accident/Incident Log,https://www.facebook.com/groups/1918392422099959/,376,60.0,
Bolsover,"Bolsover, Kirkfield events & News",https://www.facebook.com/groups/818380154286435/,109,210.0,
Cardiff North,Llani notice board,https://www.facebook.com/groups/219923121426585/,22000,2700.0,
Cardiff North,í ¼í¿´í­í±§í­í±¢í­í±·í­í±¬í­í±³í­í±¿ Supporting Welsh Businesses í ¼í¿´í­í±§í­í±¢í­í±·í­í±¬í­í±³í­í±¿,https://www.facebook.com/groups/201870902448950/,13000,2700.0,
Cardiff North,Your Caerphilly í ¼í¿´í­í±§í­í±¢í­í±·í­í±¬í­í±³í­í±¿,https://www.facebook.com/groups/CaerphillyLocal/,9400,2400.0,
Cardiff North,"Heath, rhiwbina and Whitchurch community group",https://www.facebook.com/groups/992880112465355/,6900,2400.0,
Cardiff North,Thornhill/Llanishen local businesses,https://www.facebook.com/groups/1017273022133142/,3800,1800.0,
Cardiff North,Our Whitchurch,https://www.facebook.com/groups/2252808064881435/,3800,1200.0,
Cardiff North,It's On - Event Guide,https://www.facebook.com/groups/8965181708/,3100,300.0,
Cardiff North,Whitchurch Tongwynlais Cardiff,https://www.facebook.com/groups/whitchurchtongwynlaiscardiff/,3000,120.0,
Cardiff North,Barry And Cardiff Mums and Dads í ½í²,https://www.facebook.com/groups/183250255410721/,2700,600.0,
Cardiff North,Lisvane Community News,https://www.facebook.com/groups/630010301098883/,2700,210.0,
Cardiff North,Top of Cefn,https://www.facebook.com/groups/118108158276802/,2500,120.0,
Cardiff North,Whitchurch and Llandaff Community News,https://www.facebook.com/groups/whitchurchandllandaffliving/,944,600.0,
Cardiff North,Whitchurch and Cardiff  News and Events,https://www.facebook.com/groups/2369904566649986/,783,270.0,
Cardiff North,Cardiff Lisvane  Business Pages,https://www.facebook.com/groups/1027292335034848/,367,300.0,
Chipping Barnet,í ¼í·¬í ¼í·§ LONDON UK's friends & family,https://www.facebook.com/groups/8947239485288894/,35000,1200.0,
Chipping Barnet,EVENTS and MUSIC in LONDON í ½í²,https://www.facebook.com/groups/eventsandmusicinlondon/,24000,210.0,
Chipping Barnet,Greater London í ¼í·¬í ¼í·§ ÙÙØ¯Ù Ø§ÙÙØ¨Ø±Ù,https://www.facebook.com/groups/3101329160133946/,14000,600.0,
Chipping Barnet,London Uk í ¼í·¬í ¼í·§,https://www.facebook.com/groups/1106208780452654/,5000,60.0,
Chipping Barnet,London Events & Gigs UK í ¼í·¬í ¼í·§,https://www.facebook.com/groups/2422886198173838/,1200,300.0,
Chipping Barnet,Barnet Community Group,https://www.facebook.com/groups/840123828350694/,1100,90.0,
Chipping Barnet,London vibes (hot events-local news-things to do!)  í ½í´¥,https://www.facebook.com/groups/140120684903680/,909,150.0,
Chipping Barnet,Parents in & around New Barnet,https://www.facebook.com/groups/1410882168995211/,766,210.0,
Chipping Barnet,Totteridge & Whetstone Parents,https://www.facebook.com/groups/1170683094397143/,629,150.0,
Chipping Barnet,Barnet Notice Board,https://www.facebook.com/groups/barnetnoticeboard/,435,90.0,
Clacton,"Little Clacton, Weeley Heath & Weeley Community News",https://www.facebook.com/groups/littleclactonandweeley/,12000,300.0,
Clacton,spotted in clacton and surrounding area,https://www.facebook.com/groups/505272313429830/,4900,600.0,
Clacton,Clacton Whatâs On,https://www.facebook.com/groups/330834718889459/,4100,600.0,
Clacton,Spotted in Clacton about Clacton & Surrounding Areas,https://www.facebook.com/groups/757669328664691/,3400,300.0,
Clacton,clacton and surrounding areas locals and small businesses í ½í²,https://www.facebook.com/groups/956890758125913/,3000,300.0,
Clacton,Spotted in Clacton (UNFILTERED),https://www.facebook.com/groups/961662176019315/,2800,300.0,
Clacton,Spotted in Jaywick,https://www.facebook.com/groups/483203513387444/,2200,270.0,
Clacton,Clacton volunteer litter picking,https://www.facebook.com/groups/214464470484253/,1500,60.0,
Clacton,spotted in clacton,https://www.facebook.com/groups/333697715488129/,955,240.0,
Holborn and St Pancras,camden news,https://www.facebook.com/groups/1458719464352719/,6000,300.0,
Holborn and St Pancras,Camden Market Community,https://www.facebook.com/groups/1802217233404937/,2800,150.0,
Knowsley,AROUND HUYTON L36,https://www.facebook.com/groups/1451347518574164/,15000,150.0,
Knowsley,We Are Kirkby Too,https://www.facebook.com/groups/1383662909147833/,11000,180.0,
Knowsley,Huyton & Knowsley Chat,https://www.facebook.com/groups/1973308693399825/,3600,600.0,
Knowsley,"Shop Local Appley Bridge,Standish and Shevington",https://www.facebook.com/groups/356478548801781/,3400,1200.0,
Knowsley,huyton & knowsley chat,https://www.facebook.com/groups/879795447778095/,3200,300.0,
Knowsley,New Kirkby Reporter (No snotty admin),https://www.facebook.com/groups/1384175719945597/,2300,600.0,
Knowsley,Knowsley Horse Riders,https://www.facebook.com/groups/352966388869071/,949,60.0,
Knowsley,Shop Small Businesses Knowsley,https://www.facebook.com/groups/939447344389592/,605,90.0,
Knowsley,Knowsley Advertising,https://www.facebook.com/groups/215643623403342/,481,60.0,
Knowsley,Knowsley UNISON,https://www.facebook.com/groups/982694736415600/,419,90.0,
Knowsley,Stockbridge Village Liverpool chats,https://www.facebook.com/groups/2131373900648599/,357,180.0,
Knowsley,Huyton Businesses. Advertise for free. (HuytonChatnews charges Â£5 per post),https://www.facebook.com/groups/1067803458311591/,181,120.0,
Lincoln,Fast and free scrap metal collection within Lincoln Lincolnshire,https://www.facebook.com/groups/818260389875057/,55000,2700.0,
Lincoln,Lincoln Traffic & Roadworks,https://www.facebook.com/groups/434962270201866/,50000,150.0,
Lincoln,Jobs in Lincoln,https://www.facebook.com/groups/1034684553408005/,29000,180.0,
Lincoln,Free to good home in lincoln lincolnshire,https://www.facebook.com/groups/234222356639521/,17000,210.0,
Lincoln,Jobs in Lincoln,https://www.facebook.com/groups/jobsinlincoln/,13000,120.0,
Lincoln,Doddington Lane Pits Catch Group,https://www.facebook.com/groups/794729625583907/,7900,60.0,
Lincoln,ADVERTISE YOUR BUSINESS IN LINCOLN UK AND SURROUNDING AREAS,https://www.facebook.com/groups/827134064714646/,7300,1200.0,
Lincoln,I Love Lincoln,https://www.facebook.com/groups/413334166101/,4300,120.0,
Lincoln,Lincoln Jobs in...,https://www.facebook.com/groups/1732362683700650/,4000,60.0,
Lincoln,Polish in Lincoln UK,https://www.facebook.com/groups/1143006105810747/,3600,300.0,
Lincoln,#LoveLincoln,https://www.facebook.com/groups/visitlincoln/,2700,60.0,
Lincoln,Lincoln business group,https://www.facebook.com/groups/3169749499774054/,2500,600.0,
Lincoln,Lincoln UK Sales and Trades,https://www.facebook.com/groups/Lincoln.UK/,1800,240.0,
Lincoln,"Whatâs On in Birchwood, Lincoln. (News & Events)",https://www.facebook.com/groups/24479576775016711/,1700,120.0,
Lincoln,Arboretum and Normanton Neighbourhood Group,https://www.facebook.com/groups/381734021925555/,1300,90.0,
Lincoln,SOUTH  LINCS  LINCOLN VOLUNTEER  GROUNDSEARCH  TEAM,https://www.facebook.com/groups/1525145708173278/,872,60.0,
Lincoln,Lincoln Community hub,https://www.facebook.com/groups/804144191164279/,840,210.0,
Lincoln,Birchwood/Hartsholme,https://www.facebook.com/groups/2766740643706367/,651,120.0,
Lincoln,All items Â£5 or under Lincoln only,https://www.facebook.com/groups/646831322108947/,644,90.0,
Lincoln,A Bit Of Allsorts In Lincoln,https://www.facebook.com/groups/abitofallsortsl/,509,150.0,
Lincoln,Lincoln Bailgate and uphill events and info,https://www.facebook.com/groups/1107000134725399/,297,60.0,
Lincoln,"Polskie mamy w Lincoln, Lincolnshire i okolicach. Bazarek í ½í±í ½í»",https://www.facebook.com/groups/1384548015243000/,236,120.0,
Livingston,Growing Up In Livingston,https://www.facebook.com/groups/888274961677678/,35000,300.0,
Livingston,"Craigshill, Howden, Pumpherston and Uphall Station Community Support Page",https://www.facebook.com/groups/635963856966600/,7200,180.0,
Livingston,Deans and Eliburn community news Livingston,https://www.facebook.com/groups/2872697023058238/,5400,900.0,
Livingston,This is REALLY Livingston,https://www.facebook.com/groups/8248288271875811/,4800,300.0,
Livingston,PaNDAS West Lothian í ¾í¹µí ½í²,https://www.facebook.com/groups/954404812994117/,4800,300.0,
Livingston,Deans Community- Livingston,https://www.facebook.com/groups/244529271853296/,3700,60.0,
Livingston,West Calder/Polbeth Villages,https://www.facebook.com/groups/407800586533575/,3200,120.0,
Livingston,"Craigshill, Howden, Pumpherston and Uphall Station Business Page",https://www.facebook.com/groups/695175219139496/,2400,600.0,
Livingston,Knightsridge community news Livingston,https://www.facebook.com/groups/532492941449305/,1000,210.0,
Livingston,Mid and East Calder community news,https://www.facebook.com/groups/463500138085145/,960,300.0,
Livingston,Howden & Ladywell Community News Livingston,https://www.facebook.com/groups/153534396783462/,950,300.0,
Livingston,Uphall Community Group,https://www.facebook.com/groups/450394685971794/,633,210.0,
Makerfield,Garswoodians,https://www.facebook.com/groups/4227651590/,11000,600.0,
Makerfield,"Houses, Flats, Rooms to rent Wigan, Leigh, Ashton-in-Makerfield",https://www.facebook.com/groups/591087624846832/,8700,270.0,
Makerfield,WHATS ON ASHTON IN MAKERFIELD,https://www.facebook.com/groups/894328108726054/,5100,600.0,
Makerfield,MVITA,https://www.facebook.com/groups/MVITA/,3900,60.0,
Makerfield,í ¼í¿ï¸ Greater Manchester Community í ¾í´,https://www.facebook.com/groups/2508710312741019/,3500,600.0,
Makerfield,Ashton-in-Makerfield old/ vulnerable community,https://www.facebook.com/groups/795568907519027/,2200,90.0,
Makerfield,Ince in Makerfield Residents Group,https://www.facebook.com/groups/1121164504566684/,2200,60.0,
Makerfield,Garswood Businesses,https://www.facebook.com/groups/GarswoodBusinesses/,1500,300.0,
Makerfield,Downall Green and surrounding  Area Resident Association,https://www.facebook.com/groups/224979434618011/,1100,90.0,
Makerfield,Maple Lodge Forum,https://www.facebook.com/groups/1376832645919171/,863,60.0,
Makerfield,Hindley Green Community Noticeboard,https://www.facebook.com/groups/184185709586755/,370,120.0,
Manchester Central,Manchester Nightlife Community,https://www.facebook.com/groups/1810375442723888/,355000,300.0,
Manchester Central,Manchester city,https://www.facebook.com/groups/1166333844373046/,129000,2700.0,
Manchester Central,Manchester Life,https://www.facebook.com/groups/569827850587086/,25000,600.0,
Manchester Central,Manchester Music and Live Events,https://www.facebook.com/groups/939702936043266/,10000,600.0,
Manchester Central,New Islington,https://www.facebook.com/groups/New.Islington/,10000,300.0,
Manchester Central,Manchester Family group,https://www.facebook.com/groups/manchesterfamily/,10000,120.0,
Manchester Central,í ½í°± LOST & FOUND PETS Greater Manchester í ½í°±â¤í ½í°¶,https://www.facebook.com/groups/547798405263222/,9500,900.0,
Manchester Central,Hulme Community Forum,https://www.facebook.com/groups/2506058002780001/,5300,210.0,
Manchester Central,Meet People in Manchester,https://www.facebook.com/groups/1557213235075725/,4500,150.0,
Manchester Central,"Manchester City Centre mums, dads and carers group",https://www.facebook.com/groups/445397868844581/,4200,600.0,
Manchester Central,Hairdressing Services in Greater Manchesterâ¢ï¸ í ¼í·¬í ¼í·§,https://www.facebook.com/groups/638305793641848/,3600,60.0,
Manchester Central,í ¼í¿ï¸ Greater Manchester Community í ¾í´,https://www.facebook.com/groups/2508710312741019/,3400,300.0,
Manchester Central,Manchester Nightlife,https://www.facebook.com/groups/1206921482762035/,3100,180.0,
Manchester Central,MANCHESTER WALL - INFO,https://www.facebook.com/groups/761244203958708/,2400,60.0,
Manchester Central,MayoManchester,https://www.facebook.com/groups/1525223864391296/,2000,60.0,
Manchester Central,Manchester Banana.,https://www.facebook.com/groups/1570911609854853/,554,60.0,
Mansfield,Jobs in Mansfield UK í ¼í·¬í ¼í·§ & surrounding areas,https://www.facebook.com/groups/jobs.mansfield.nottinghamshire/,25000,90.0,
Mansfield,OgÅoszenia Mansfield,https://www.facebook.com/groups/175199359357116/,18000,1200.0,
Mansfield,"Mansfield, Nottinghamshire Coronavirus (Covid-19) Mutual Aid group",https://www.facebook.com/groups/599614573923370/,16000,120.0,
Mansfield,Romani in Mansfield,https://www.facebook.com/groups/465502050283108/,10000,300.0,
Mansfield,Business advertising in and around Mansfield uk,https://www.facebook.com/groups/869144950653117/,9400,2700.0,
Mansfield,TITCHFIELD COMMUNITY GROUP,https://www.facebook.com/groups/titchfieldcommunitygroup/,8000,1200.0,
Mansfield,"House exchange in and around mansfield , ashfield areas",https://www.facebook.com/groups/341812322606864/,8000,240.0,
Mansfield,"Edwinstowe, Mansfield and Surrounding areas for Businesses & services (UK)",https://www.facebook.com/groups/812429112835732/,7900,1500.0,
Mansfield,Mansfield & Surrounding Areas FREE GIFTING UK ONLY!!,https://www.facebook.com/groups/275314334289689/,7600,60.0,
Mansfield,"Mansfield, Nottinghamshire",https://www.facebook.com/groups/668734686182579/,6600,2400.0,
Mansfield,Supporting Berry Hill Park Mansfield UK,https://www.facebook.com/groups/2297582783603683/,6100,90.0,
Mansfield,"Sprzedam,kupie w Mansfield i okolice",https://www.facebook.com/groups/351173588375006/,4900,600.0,
Mansfield,"Mansfield Business Services, Events, and Specials Page",https://www.facebook.com/groups/272911083181666/,4800,1800.0,
